0.4099999, 0, 0, 7.098777, 1.574027, 0, 265.8278, -831.0645, -4.985368, 0.01928791, 0.1567104, 20.83511, 2.28485, 1.887131, 20.05843
 
0.4199999, -0.1392219, 0, 7.274592, 1.574341, 1.2865901222389867010208, 282.7809, -831.3711, -4.985368, 0.01928791, 0.1567104, 21.48941, 2.28485, 1.886777, 20.06461
 
0.4299999, -0.1427099, -0.001392219, 7.450457, 1.574552, 1.2458227074201826355088, 300.2609, -831.6779, -4.985368, 0.01928791, 0.1567104, 22.14382, 2.28485, 1.886424, 20.07079
 
0.4399998, -0.1461278, -0.002819317, 7.626469, 1.574762, 1.2072347550713746044875177130, 318.2676, -831.9849, -4.985368, 0.01928791, 0.1567104, 22.79834, 2.28485, 1.88607, 20.07697
 
0.4499998, -0.149471, -0.004280596, 7.802833, 1.575176, 1.1706258333195200221560, 336.8008, -832.2924, -4.985368, 0.01928791, 0.1567104, 23.45296, 2.28485, 1.885717, 20.08315
 
0.4599998, -0.152734, -0.005775306, 7.979132, 1.575385, 1.1358161154373954952736, 355.8602, -832.6, -4.985368, 0.01928791, 0.1567104, 24.10766, 2.28485, 1.885363, 20.08934
 
0.4699998, -0.155915, -0.007302646, 8.15575, 1.575696, 1.1026451756467761447816, 375.4546, -832.908, -4.985368, 0.01928791, 0.1567104, 24.76272, 2.28485, 1.88501, 20.09552
 
0.4799998, -0.1590118, -0.008861796, 8.33403, 1.577335, 1.0709575387564188777059177130, 395.5984, -833.2161, -4.985368, 0.01928791, 0.1567104, 25.41858, 2.28485, 1.884656, 20.1017
 
0.4899998, -0.1620156, -0.01045191, 8.512742, 1.579076, 1.0406070955504606243979177130, 416.2932, -833.5245, -4.985368, 0.01928791, 0.1567104, 26.07523, 2.28485, 1.884303, 20.10789
 
0.4999998, -0.1649204, -0.01207207, 8.69189, 1.580922, 1.0114815881240388395268822870, 437.5406, -833.8334, -4.985368, 0.01928791, 0.1567104, 26.73267, 2.28485, 1.883949, 20.11407
 
