# Simulation 4 (Up to date)
# 1048 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (25.6 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
6.099,3778.415,256.1,-2.33
6.149,3820.332,254.962,-2.315
6.199,3862.064,253.83,-2.3
6.249,3903.61,252.706,-2.285
6.299,3944.973,251.59,-2.27
6.349,3986.153,250.481,-2.255
6.399,4027.152,249.379,-2.24
6.449,4067.971,248.284,-2.226
6.499,4108.61,247.196,-2.212
6.549,4149.072,246.114,-2.198
6.599,4189.357,245.04,-2.185
6.649,4229.466,243.971,-2.172
6.699,4269.4,242.91,-2.158
6.749,4309.161,241.855,-2.145
6.799,4348.749,240.806,-2.132
6.849,4388.166,239.763,-2.12
6.899,4427.412,238.727,-2.107
6.949,4466.489,237.697,-2.095
6.999,4505.397,236.672,-2.083
7.049,4544.138,235.654,-2.071
7.099,4582.712,234.641,-2.06
7.149,4621.12,233.634,-2.048
7.199,4659.363,232.633,-2.036
7.249,4697.443,231.637,-2.025
7.299,4735.36,230.647,-2.014
7.349,4773.115,229.662,-2.003
7.399,4810.709,228.682,-1.992
7.449,4848.142,227.708,-1.982
7.499,4885.416,226.739,-1.971
7.549,4922.532,225.775,-1.961
7.599,4959.49,224.816,-1.95
7.649,4996.291,223.862,-1.94
7.699,5032.936,222.913,-1.93
7.749,5069.425,221.97,-1.92
7.799,5105.76,221.03,-1.91
7.849,5141.942,220.096,-1.901
7.899,5177.971,219.166,-1.891
7.949,5213.847,218.241,-1.882
7.999,5249.572,217.321,-1.873
8.049,5285.147,216.405,-1.864
8.099,5320.571,215.493,-1.855
8.149,5355.847,214.586,-1.846
8.199,5390.974,213.683,-1.837
8.249,5425.953,212.785,-1.828
8.299,5460.785,211.89,-1.82
8.349,5495.471,211,-1.811
8.399,5530.011,210.114,-1.803
8.449,5564.406,209.232,-1.795
8.499,5598.657,208.354,-1.786
8.549,5632.764,207.48,-1.778
8.599,5666.728,206.61,-1.77
8.649,5700.55,205.744,-1.762
8.699,5734.23,204.882,-1.755
8.749,5767.769,204.024,-1.747
8.799,5801.167,203.169,-1.739
8.849,5834.426,202.318,-1.732
8.899,5867.545,201.471,-1.724
8.949,5900.525,200.627,-1.717
8.999,5933.367,199.787,-1.71
9.049,5966.072,198.951,-1.702
9.099,5998.64,198.118,-1.695
9.149,6031.072,197.288,-1.688
9.199,6063.367,196.462,-1.681
9.249,6095.528,195.639,-1.674
9.299,6127.554,194.82,-1.668
9.349,6159.445,194.004,-1.661
9.399,6191.204,193.191,-1.654
9.449,6222.829,192.382,-1.648
9.499,6254.321,191.575,-1.641
9.549,6285.682,190.772,-1.635
9.599,6316.911,189.972,-1.628
9.649,6348.009,189.175,-1.622
9.699,6378.976,188.382,-1.616
9.749,6409.814,187.591,-1.61
9.799,6440.522,186.803,-1.603
9.849,6471.101,186.019,-1.597
9.899,6501.552,185.237,-1.591
9.949,6531.874,184.458,-1.586
9.999,6562.07,183.682,-1.58
10.049,6592.138,182.909,-1.574
10.099,6622.079,182.138,-1.568
10.149,6651.895,181.371,-1.562
10.199,6681.584,180.606,-1.557
10.249,6711.149,179.844,-1.551
10.299,6740.588,179.085,-1.546
10.349,6769.904,178.328,-1.54
10.399,6799.095,177.574,-1.535
10.449,6828.163,176.823,-1.53
10.499,6857.108,176.074,-1.524
10.549,6885.93,175.328,-1.519
10.599,6914.63,174.584,-1.514
10.649,6943.209,173.843,-1.509
10.699,6971.666,173.105,-1.504
10.749,7000.002,172.368,-1.499
10.799,7028.217,171.635,-1.494
10.849,7056.313,170.903,-1.489
10.899,7084.288,170.175,-1.484
10.949,7112.144,169.448,-1.479
10.999,7139.881,168.724,-1.475
11.049,7167.5,168.002,-1.47
11.099,7195,167.282,-1.465
11.149,7222.383,166.565,-1.461
11.199,7249.648,165.85,-1.456
11.249,7276.795,165.137,-1.452
11.299,7303.827,164.426,-1.447
11.349,7330.741,163.718,-1.443
11.399,7357.54,163.012,-1.438
11.449,7384.223,162.308,-1.434
11.499,7410.791,161.606,-1.43
11.549,7437.243,160.906,-1.425
11.599,7463.581,160.208,-1.421
11.649,7489.805,159.512,-1.417
11.699,7515.915,158.818,-1.413
11.749,7541.911,158.127,-1.409
11.799,7567.794,157.437,-1.405
11.849,7593.564,156.749,-1.4
11.899,7619.221,156.064,-1.396
11.949,7644.766,155.38,-1.393
11.999,7670.199,154.698,-1.389
12.049,7695.52,154.018,-1.385
12.099,7720.73,153.34,-1.381
12.149,7745.828,152.664,-1.377
12.199,7770.816,151.99,-1.373
12.249,7795.694,151.317,-1.369
12.299,7820.461,150.647,-1.366
12.349,7845.119,149.978,-1.362
12.399,7869.667,149.311,-1.358
12.449,7894.105,148.646,-1.355
12.499,7918.435,147.982,-1.351
12.549,7942.656,147.321,-1.348
12.599,7966.769,146.661,-1.344
12.649,7990.773,146.002,-1.341
12.699,8014.67,145.346,-1.337
12.749,8038.459,144.691,-1.334
12.799,8062.141,144.038,-1.331
12.849,8085.715,143.386,-1.327
12.899,8109.183,142.736,-1.324
12.949,8132.545,142.088,-1.321
12.999,8155.8,141.441,-1.317
13.049,8178.95,140.796,-1.314
13.099,8201.993,140.152,-1.311
13.149,8224.931,139.51,-1.308
13.199,8247.764,138.87,-1.305
