# Simulation 4 (Up to date)
# 1138 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
6.249,4339.772,276.938,-2.656
6.299,4385.095,275.641,-2.635
6.349,4430.206,274.354,-2.614
6.399,4475.106,273.077,-2.593
6.449,4519.798,271.811,-2.573
6.499,4564.284,270.554,-2.553
6.549,4608.563,269.306,-2.534
6.599,4652.639,268.069,-2.515
6.649,4696.513,266.84,-2.497
6.699,4740.186,265.62,-2.478
6.749,4783.659,264.409,-2.46
6.799,4826.934,263.207,-2.442
6.849,4870.013,262.014,-2.425
6.899,4912.898,260.829,-2.408
6.949,4955.588,259.653,-2.391
6.999,4998.086,258.484,-2.375
7.049,5040.393,257.324,-2.359
7.099,5082.51,256.171,-2.343
7.149,5124.439,255.026,-2.327
7.199,5166.181,253.889,-2.311
7.249,5207.736,252.76,-2.296
7.299,5249.108,251.638,-2.281
7.349,5290.295,250.523,-2.266
7.399,5331.301,249.416,-2.252
7.449,5372.125,248.315,-2.238
7.499,5412.769,247.221,-2.223
7.549,5453.235,246.135,-2.21
7.599,5493.522,245.054,-2.196
7.649,5533.633,243.981,-2.182
7.699,5573.569,242.914,-2.169
7.749,5613.33,241.854,-2.156
7.799,5652.918,240.8,-2.144
7.849,5692.333,239.752,-2.131
7.899,5731.577,238.71,-2.118
7.949,5770.65,237.674,-2.106
7.999,5809.554,236.645,-2.094
8.049,5848.29,235.621,-2.082
8.099,5886.858,234.603,-2.07
8.149,5925.26,233.591,-2.058
8.199,5963.496,232.584,-2.047
8.249,6001.567,231.584,-2.036
8.299,6039.475,230.588,-2.024
8.349,6077.22,229.598,-2.013
8.399,6114.803,228.614,-2.002
8.449,6152.224,227.634,-1.992
8.499,6189.486,226.66,-1.981
