# Simulation 4 (Up to date)
# 1138 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
57.186,9833.528,-27.167,0.004
57.686,9788.976,-27.15,0.004
58.186,9744.453,-27.133,0.004
58.686,9699.959,-27.115,0.004
59.186,9655.492,-27.098,0.004
59.686,9611.055,-27.081,0.003
60.186,9566.645,-27.064,0.003
60.686,9522.263,-27.046,0.003
61.186,9477.91,-27.029,0.003
61.686,9433.584,-27.012,0.003
62.186,9389.286,-26.996,0.003
62.686,9345.016,-26.979,0.003
63.186,9300.773,-26.962,0.003
63.686,9256.558,-26.945,0.003
64.186,9212.371,-26.928,0.003
64.686,9168.21,-26.912,0.003
65.186,9124.077,-26.895,0.003
65.686,9079.972,-26.879,0.003
66.186,9035.893,-26.862,0.003
66.686,8991.841,-26.846,0.003
67.186,8947.816,-26.829,0.003
67.686,8903.818,-26.813,0.003
68.186,8859.847,-26.797,0.003
68.686,8815.902,-26.781,0.003
69.186,8771.984,-26.764,0.003
69.686,8728.093,-26.748,0.003
70.186,8684.227,-26.732,0.003
70.686,8640.388,-26.716,0.003
71.186,8596.576,-26.7,0.003
71.686,8552.789,-26.684,0.003
72.186,8509.028,-26.668,0.003
72.686,8465.294,-26.652,0.003
73.186,8421.587,-26.636,0.003
73.686,8377.906,-26.619,0.003
74.186,8334.253,-26.603,0.003
74.686,8290.627,-26.586,0.003
75.186,8247.027,-26.57,0.003
75.686,8203.455,-26.554,0.003
76.186,8159.909,-26.537,0.003
76.686,8116.391,-26.521,0.003
77.186,8072.899,-26.504,0.003
77.686,8029.434,-26.488,0.003
78.186,7985.995,-26.472,0.003
78.686,7942.583,-26.456,0.003
79.186,7899.197,-26.44,0.003
79.686,7855.838,-26.424,0.003
80.186,7812.505,-26.408,0.003
80.686,7769.199,-26.392,0.003
81.186,7725.918,-26.376,0.003
81.686,7682.663,-26.36,0.003
82.186,7639.434,-26.344,0.003
82.686,7596.232,-26.329,0.003
83.186,7553.055,-26.313,0.003
83.686,7509.903,-26.297,0.003
84.186,7466.777,-26.282,0.003
84.686,7423.677,-26.266,0.003
85.186,7380.602,-26.251,0.003
85.686,7337.553,-26.235,0.003
86.186,7294.529,-26.22,0.003
86.686,7251.53,-26.205,0.003
87.186,7208.556,-26.189,0.003
87.686,7165.607,-26.174,0.003
88.186,7122.683,-26.159,0.003
88.686,7079.784,-26.144,0.003
89.186,7036.91,-26.129,0.003
89.686,6994.061,-26.113,0.003
90.186,6951.236,-26.098,0.003
90.686,6908.436,-26.084,0.003
91.186,6865.66,-26.068,0.003
91.686,6822.909,-26.053,0.003
92.186,6780.184,-26.038,0.003
92.686,6737.484,-26.022,0.003
93.186,6694.809,-26.007,0.003
93.686,6652.16,-25.991,0.003
94.186,6609.536,-25.976,0.003
94.686,6566.938,-25.96,0.003
95.186,6524.365,-25.945,0.003
95.686,6481.817,-25.929,0.003
96.186,6439.294,-25.914,0.003
96.686,6396.797,-25.899,0.003
97.186,6354.324,-25.884,0.003
97.686,6311.877,-25.868,0.003
98.186,6269.454,-25.853,0.003
98.686,6227.057,-25.838,0.003
99.186,6184.684,-25.823,0.003
99.686,6142.335,-25.808,0.003
100.186,6100.012,-25.793,0.003
100.686,6057.712,-25.778,0.003
101.186,6015.438,-25.763,0.003
101.686,5973.187,-25.748,0.003
102.186,5930.961,-25.734,0.003
102.686,5888.759,-25.719,0.003
103.186,5846.582,-25.704,0.003
103.686,5804.428,-25.69,0.003
104.186,5762.298,-25.675,0.003
104.686,5720.192,-25.66,0.003
105.186,5678.111,-25.646,0.003
105.686,5636.052,-25.631,0.003
106.186,5594.018,-25.617,0.003
106.686,5552.007,-25.603,0.003
107.186,5510.02,-25.588,0.003
107.686,5468.056,-25.574,0.003
108.186,5426.116,-25.56,0.003
108.686,5384.199,-25.545,0.003
109.186,5342.305,-25.531,0.003
109.686,5300.435,-25.517,0.003
110.186,5258.587,-25.503,0.003
110.686,5216.763,-25.489,0.003
111.186,5174.963,-25.474,0.003
111.686,5133.186,-25.46,0.003
112.186,5091.433,-25.445,0.003
112.686,5049.704,-25.431,0.003
113.186,5007.999,-25.416,0.003
113.686,4966.318,-25.401,0.003
114.186,4924.661,-25.387,0.003
114.686,4883.028,-25.372,0.003
115.186,4841.418,-25.358,0.003
115.686,4799.833,-25.343,0.003
116.186,4758.271,-25.329,0.003
116.686,4716.732,-25.315,0.003
117.186,4675.217,-25.3,0.003
117.686,4633.726,-25.286,0.003
118.186,4592.258,-25.272,0.003
118.686,4550.813,-25.258,0.003
119.186,4509.392,-25.243,0.003
119.686,4467.993,-25.229,0.003
120.186,4426.618,-25.215,0.003
120.686,4385.266,-25.201,0.003
121.186,4343.937,-25.187,0.003
121.686,4302.631,-25.173,0.003
122.186,4261.347,-25.159,0.003
122.686,4220.087,-25.146,0.003
123.186,4178.849,-25.132,0.003
123.686,4137.633,-25.118,0.003
124.186,4096.441,-25.104,0.003
124.686,4055.271,-25.091,0.003
125.186,4014.123,-25.077,0.003
125.686,3972.997,-25.063,0.003
126.186,3931.894,-25.05,0.003
126.686,3890.813,-25.036,0.003
127.186,3849.755,-25.023,0.003
127.686,3808.718,-25.009,0.003
128.186,3767.704,-24.996,0.003
128.686,3726.711,-24.982,0.003
129.186,3685.74,-24.969,0.003
129.686,3644.792,-24.956,0.003
130.186,3603.865,-24.942,0.003
130.686,3562.96,-24.929,0.003
131.186,3522.077,-24.915,0.003
131.686,3481.217,-24.902,0.003
132.186,3440.379,-24.888,0.003
132.686,3399.564,-24.874,0.003
133.186,3358.772,-24.86,0.003
133.686,3318.002,-24.846,0.003
134.186,3277.255,-24.833,0.003
134.686,3236.53,-24.819,0.003
135.186,3195.828,-24.805,0.003
135.686,3155.148,-24.792,0.003
136.186,3114.49,-24.778,0.003
136.686,3073.855,-24.765,0.003
137.186,3033.241,-24.751,0.003
137.686,2992.65,-24.738,0.003
138.186,2952.081,-24.724,0.003
138.686,2911.534,-24.711,0.003
139.186,2871.009,-24.697,0.003
139.686,2830.506,-24.684,0.003
140.186,2790.024,-24.671,0.003
140.686,2749.564,-24.658,0.003
141.186,2709.126,-24.644,0.003
141.686,2668.71,-24.631,0.003
142.186,2628.315,-24.618,0.003
142.686,2587.942,-24.605,0.003
143.186,2547.589,-24.592,0.003
143.686,2507.259,-24.579,0.003
144.186,2466.949,-24.566,0.003
144.686,2426.661,-24.553,0.003
145.186,2386.394,-24.54,0.003
145.686,2346.149,-24.527,0.003
146.186,2305.924,-24.515,0.003
146.686,2265.72,-24.502,0.003
147.186,2225.537,-24.489,0.003
147.686,2185.375,-24.476,0.003
148.186,2145.234,-24.464,0.003
148.686,2105.114,-24.451,0.003
149.186,2065.014,-24.438,0.003
149.686,2024.936,-24.426,0.003
150.186,1984.877,-24.413,0.003
150.686,1944.84,-24.401,0.003
151.186,1904.823,-24.388,0.003
151.686,1864.827,-24.375,0.003
152.186,1824.853,-24.362,0.003
152.686,1784.9,-24.349,0.003
153.186,1744.968,-24.336,0.003
153.686,1705.058,-24.323,0.003
154.186,1665.169,-24.31,0.003
154.686,1625.301,-24.297,0.003
155.186,1585.454,-24.284,0.003
155.686,1545.629,-24.271,0.003
156.186,1505.824,-24.258,0.003
156.686,1466.041,-24.246,0.003
157.186,1426.279,-24.233,0.003
157.686,1386.537,-24.22,0.003
158.186,1346.817,-24.207,0.003
158.686,1307.117,-24.195,0.003
159.186,1267.438,-24.182,0.003
159.686,1227.78,-24.169,0.003
160.186,1188.142,-24.157,0.003
160.686,1148.525,-24.144,0.003
161.186,1108.928,-24.132,0.003
161.686,1069.352,-24.119,0.003
162.186,1029.796,-24.107,0.003
162.686,990.261,-24.095,0.003
# Event SIM_WARN occurred at t=162.687 seconds: Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=162.687 seconds
162.687,990.182,-24.095,21.799
162.692,989.819,-23.095,19.946
162.697,989.44,-22.095,18.172
162.702,989.043,-21.095,16.476
162.708,988.625,-20.095,14.859
162.715,988.184,-19.095,13.32
162.723,987.717,-18.095,11.86
162.732,987.22,-17.095,10.478
162.741,986.69,-16.095,9.175
162.752,986.122,-15.095,7.95
162.765,985.507,-14.095,6.804
162.78,984.839,-13.095,5.736
162.798,984.104,-12.095,4.747
162.819,983.287,-11.095,3.836
162.846,982.363,-10.095,3.004
162.88,981.295,-9.095,2.25
162.925,980.017,-8.095,1.575
162.99,978.404,-7.095,0.979
163.094,976.15,-6.095,0.461
163.307,972.228,-5.132,0.036
163.56,968.008,-5.042,4.302e-4
163.817,963.751,-5.041,1.096e-4
164.075,959.494,-5.04,1.095e-4
164.332,955.238,-5.04,1.095e-4
164.59,950.982,-5.04,1.094e-4
164.847,946.727,-5.04,1.094e-4
165.104,942.472,-5.039,1.094e-4
165.362,938.217,-5.039,1.093e-4
165.619,933.963,-5.039,1.093e-4
165.876,929.71,-5.039,1.093e-4
166.134,925.457,-5.038,1.092e-4
166.391,921.204,-5.038,1.092e-4
166.648,916.952,-5.038,1.092e-4
166.905,912.701,-5.037,1.091e-4
167.163,908.449,-5.037,1.091e-4
167.42,904.199,-5.037,1.091e-4
167.677,899.949,-5.037,1.09e-4
167.934,895.699,-5.036,1.09e-4
168.191,891.449,-5.036,1.09e-4
168.449,887.201,-5.036,1.089e-4
168.706,882.952,-5.035,1.089e-4
168.963,878.704,-5.035,1.089e-4
169.22,874.457,-5.035,1.089e-4
169.477,870.21,-5.035,1.088e-4
169.734,865.964,-5.034,1.088e-4
169.991,861.718,-5.034,1.088e-4
170.248,857.472,-5.034,1.087e-4
170.505,853.227,-5.034,1.087e-4
170.762,848.982,-5.033,1.087e-4
171.019,844.738,-5.033,1.086e-4
171.276,840.494,-5.033,1.086e-4
171.533,836.251,-5.032,1.086e-4
171.79,832.008,-5.032,1.085e-4
172.047,827.766,-5.032,1.085e-4
172.304,823.524,-5.032,1.085e-4
172.561,819.283,-5.031,1.084e-4
172.818,815.042,-5.031,1.084e-4
173.075,810.801,-5.031,1.084e-4
173.332,806.561,-5.031,1.083e-4
173.589,802.322,-5.03,1.083e-4
173.846,798.083,-5.03,1.083e-4
174.102,793.844,-5.03,1.082e-4
174.359,789.606,-5.029,1.082e-4
174.616,785.368,-5.029,1.082e-4
174.873,781.131,-5.029,1.082e-4
175.13,776.894,-5.029,1.081e-4
175.387,772.658,-5.028,1.081e-4
175.643,768.422,-5.028,1.081e-4
175.9,764.187,-5.028,1.08e-4
176.157,759.952,-5.028,1.08e-4
176.414,755.717,-5.027,1.08e-4
176.67,751.483,-5.027,1.079e-4
176.927,747.249,-5.027,1.079e-4
177.184,743.016,-5.026,1.079e-4
177.44,738.784,-5.026,1.078e-4
177.697,734.552,-5.026,1.078e-4
177.954,730.32,-5.026,1.078e-4
178.21,726.089,-5.025,1.077e-4
178.467,721.858,-5.025,1.077e-4
178.723,717.627,-5.025,1.077e-4
178.98,713.397,-5.025,1.077e-4
179.237,709.168,-5.024,1.076e-4
179.493,704.939,-5.024,1.076e-4
179.75,700.711,-5.024,1.076e-4
180.006,696.482,-5.023,1.075e-4
180.263,692.255,-5.023,1.075e-4
180.519,688.028,-5.023,1.075e-4
180.776,683.801,-5.023,1.074e-4
181.032,679.575,-5.022,1.074e-4
181.289,675.349,-5.022,1.074e-4
181.545,671.124,-5.022,1.073e-4
181.802,666.899,-5.022,1.073e-4
182.058,662.674,-5.021,1.073e-4
182.314,658.45,-5.021,1.072e-4
182.571,654.227,-5.021,1.072e-4
182.827,650.004,-5.021,1.072e-4
183.084,645.781,-5.02,1.072e-4
183.34,641.559,-5.02,1.071e-4
183.596,637.337,-5.02,1.071e-4
183.853,633.116,-5.019,1.071e-4
184.109,628.895,-5.019,1.07e-4
184.365,624.675,-5.019,1.07e-4
184.621,620.455,-5.019,1.07e-4
184.878,616.236,-5.018,1.069e-4
185.134,612.017,-5.018,1.069e-4
185.39,607.798,-5.018,1.069e-4
185.646,603.58,-5.018,1.068e-4
185.903,599.363,-5.017,1.068e-4
186.159,595.146,-5.017,1.068e-4
186.415,590.929,-5.017,1.068e-4
186.671,586.713,-5.016,1.067e-4
186.927,582.497,-5.016,1.067e-4
187.183,578.282,-5.016,1.067e-4
187.44,574.067,-5.016,1.066e-4
187.696,569.852,-5.015,1.066e-4
187.952,565.638,-5.015,1.066e-4
188.208,561.425,-5.015,1.065e-4
188.464,557.212,-5.015,1.065e-4
188.72,552.999,-5.014,1.065e-4
188.976,548.787,-5.014,1.065e-4
189.232,544.575,-5.014,1.064e-4
189.488,540.364,-5.014,1.064e-4
189.744,536.153,-5.013,1.064e-4
190,531.943,-5.013,1.063e-4
190.256,527.733,-5.013,1.063e-4
190.512,523.523,-5.012,1.063e-4
190.768,519.314,-5.012,1.062e-4
191.024,515.106,-5.012,1.062e-4
191.28,510.897,-5.012,1.062e-4
191.536,506.69,-5.011,1.061e-4
191.792,502.483,-5.011,1.061e-4
192.048,498.276,-5.011,1.061e-4
192.303,494.069,-5.011,1.061e-4
192.559,489.864,-5.01,1.06e-4
192.815,485.658,-5.01,1.06e-4
193.071,481.453,-5.01,1.06e-4
193.327,477.249,-5.01,1.059e-4
193.583,473.044,-5.009,1.059e-4
193.838,468.841,-5.009,1.059e-4
194.094,464.638,-5.009,1.058e-4
194.35,460.435,-5.008,1.058e-4
194.606,456.233,-5.008,1.058e-4
194.861,452.031,-5.008,1.058e-4
195.117,447.829,-5.008,1.057e-4
195.373,443.628,-5.007,1.057e-4
195.628,439.428,-5.007,1.057e-4
195.884,435.228,-5.007,1.056e-4
196.14,431.028,-5.007,1.056e-4
196.395,426.829,-5.006,1.056e-4
196.651,422.63,-5.006,1.055e-4
196.907,418.432,-5.006,1.055e-4
197.162,414.234,-5.006,1.055e-4
197.418,410.037,-5.005,1.055e-4
197.674,405.84,-5.005,1.054e-4
197.929,401.643,-5.005,1.054e-4
198.185,397.447,-5.005,1.054e-4
198.44,393.252,-5.004,1.053e-4
198.696,389.056,-5.004,1.053e-4
198.951,384.862,-5.004,1.053e-4
199.207,380.667,-5.003,1.052e-4
199.462,376.474,-5.003,1.052e-4
199.718,372.28,-5.003,1.052e-4
199.973,368.087,-5.003,1.052e-4
200.229,363.895,-5.002,1.051e-4
200.484,359.703,-5.002,1.068e-4
200.739,355.511,-5.002,1.112e-4
200.995,351.32,-5.002,1.112e-4
201.25,347.129,-5.001,1.111e-4
201.506,342.939,-5.001,1.111e-4
201.761,338.749,-5.001,1.111e-4
202.016,334.56,-5,1.11e-4
202.272,330.371,-5,1.11e-4
202.527,326.183,-5,1.11e-4
202.782,321.995,-5,1.109e-4
203.038,317.807,-4.999,1.109e-4
203.293,313.621,-4.999,1.109e-4
203.548,309.434,-4.999,1.108e-4
203.803,305.248,-4.999,1.108e-4
204.059,301.063,-4.998,1.108e-4
204.314,296.877,-4.998,1.107e-4
204.569,292.693,-4.998,1.107e-4
204.824,288.509,-4.997,1.107e-4
205.079,284.325,-4.997,1.107e-4
205.335,280.142,-4.997,1.106e-4
205.59,275.959,-4.997,1.106e-4
205.845,271.777,-4.996,1.106e-4
206.1,267.595,-4.996,1.105e-4
206.355,263.414,-4.996,1.105e-4
206.61,259.233,-4.995,1.105e-4
206.865,255.052,-4.995,1.104e-4
207.12,250.872,-4.995,1.104e-4
207.375,246.693,-4.995,1.104e-4
207.63,242.514,-4.994,1.103e-4
207.885,238.335,-4.994,1.103e-4
208.14,234.157,-4.994,1.103e-4
208.395,229.98,-4.994,1.102e-4
208.65,225.802,-4.993,1.102e-4
208.905,221.626,-4.993,1.102e-4
209.16,217.449,-4.993,1.101e-4
209.415,213.274,-4.992,1.101e-4
209.67,209.098,-4.992,1.101e-4
209.925,204.923,-4.992,1.1e-4
210.18,200.749,-4.992,1.1e-4
210.435,196.575,-4.991,1.1e-4
210.69,192.402,-4.991,1.099e-4
210.944,188.229,-4.991,1.099e-4
211.199,184.056,-4.991,1.099e-4
211.454,179.884,-4.99,1.098e-4
211.709,175.712,-4.99,1.098e-4
211.964,171.541,-4.99,1.098e-4
212.219,167.37,-4.989,1.097e-4
212.473,163.2,-4.989,1.097e-4
212.728,159.03,-4.989,1.097e-4
212.983,154.861,-4.989,1.096e-4
213.237,150.692,-4.988,1.096e-4
213.492,146.524,-4.988,1.096e-4
213.747,142.356,-4.988,1.096e-4
214.002,138.188,-4.988,1.095e-4
214.256,134.021,-4.987,1.095e-4
214.511,129.855,-4.987,1.095e-4
214.766,125.688,-4.987,1.094e-4
215.02,121.523,-4.986,1.094e-4
215.275,117.357,-4.986,1.094e-4
215.529,113.193,-4.986,1.093e-4
215.784,109.028,-4.986,1.093e-4
216.038,104.865,-4.985,1.093e-4
216.293,100.701,-4.985,1.092e-4
216.548,96.538,-4.985,1.092e-4
216.802,92.376,-4.985,1.092e-4
217.057,88.214,-4.984,1.091e-4
217.311,84.052,-4.984,1.091e-4
217.566,79.891,-4.984,1.091e-4
217.82,75.731,-4.983,1.09e-4
218.075,71.57,-4.983,1.09e-4
218.329,67.411,-4.983,1.09e-4
218.583,63.251,-4.983,1.089e-4
218.838,59.093,-4.982,1.089e-4
219.092,54.934,-4.982,1.089e-4
219.347,50.776,-4.982,1.089e-4
219.601,46.619,-4.982,1.088e-4
219.855,42.462,-4.981,1.088e-4
220.11,38.305,-4.981,1.088e-4
220.364,34.149,-4.981,1.087e-4
220.618,29.994,-4.98,1.087e-4
220.873,25.838,-4.98,1.087e-4
221.127,21.684,-4.98,1.086e-4
221.381,17.529,-4.98,1.086e-4
221.635,13.375,-4.979,1.086e-4
221.89,9.222,-4.979,1.085e-4
222.144,5.069,-4.979,1.085e-4
# Event GROUND_HIT occurred at t=222.454 seconds
# Event SIMULATION_END occurred at t=222.454 seconds
222.454,0,-4.978,1.085e-4
