# Simulation 4 (Up to date)
# 1140 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
6.199,4296.879,278.374,-2.681
6.249,4342.437,277.065,-2.659
6.299,4387.781,275.766,-2.638
6.349,4432.912,274.478,-2.617
6.399,4477.833,273.2,-2.596
6.449,4522.545,271.932,-2.576
6.499,4567.05,270.674,-2.556
6.549,4611.349,269.425,-2.537
6.599,4655.445,268.186,-2.518
6.649,4699.337,266.956,-2.499
6.699,4743.029,265.735,-2.481
6.749,4786.521,264.523,-2.463
6.799,4829.815,263.319,-2.445
6.849,4872.912,262.125,-2.428
6.899,4915.814,260.939,-2.41
6.949,4958.523,259.761,-2.394
6.999,5001.038,258.591,-2.377
7.049,5043.363,257.43,-2.361
7.099,5085.497,256.276,-2.345
7.149,5127.443,255.13,-2.329
7.199,5169.202,253.992,-2.313
7.249,5210.774,252.862,-2.298
7.299,5252.162,251.739,-2.283
7.349,5293.366,250.623,-2.268
7.399,5334.388,249.514,-2.254
7.449,5375.228,248.413,-2.239
7.499,5415.888,247.318,-2.225
7.549,5456.37,246.23,-2.211
7.599,5496.673,245.149,-2.198
7.649,5536.8,244.075,-2.184
7.699,5576.75,243.007,-2.171
7.749,5616.527,241.945,-2.158
7.799,5656.129,240.89,-2.145
7.849,5695.559,239.842,-2.133
7.899,5734.818,238.799,-2.12
7.949,5773.906,237.763,-2.108
7.999,5812.824,236.732,-2.096
8.049,5851.574,235.708,-2.084
8.099,5890.156,234.689,-2.072
8.149,5928.572,233.676,-2.06
8.199,5966.822,232.669,-2.049
8.249,6004.907,231.667,-2.037
8.299,6042.829,230.671,-2.026
8.349,6080.587,229.68,-2.015
8.399,6118.183,228.695,-2.004
8.449,6155.618,227.715,-1.993
8.499,6192.893,226.74,-1.983
8.549,6230.008,225.771,-1.972
8.599,6266.965,224.806,-1.962
8.649,6303.764,223.847,-1.952
8.699,6340.406,222.892,-1.941
8.749,6376.892,221.943,-1.931
8.799,6413.222,220.998,-1.922
8.849,6449.398,220.058,-1.912
8.899,6485.42,219.123,-1.902
8.949,6521.289,218.193,-1.893
8.999,6557.006,217.267,-1.884
9.049,6592.571,216.345,-1.874
9.099,6627.985,215.429,-1.865
9.149,6663.25,214.516,-1.856
9.199,6698.365,213.608,-1.847
9.249,6733.332,212.705,-1.838
9.299,6768.15,211.805,-1.83
9.349,6802.822,210.91,-1.821
9.399,6837.347,210.019,-1.813
9.449,6871.726,209.133,-1.804
9.499,6905.96,208.25,-1.796
9.549,6940.05,207.371,-1.788
9.599,6973.995,206.496,-1.78
9.649,7007.798,205.626,-1.772
9.699,7041.458,204.759,-1.764
9.749,7074.976,203.896,-1.756
9.799,7108.353,203.036,-1.749
9.849,7141.59,202.181,-1.741
9.899,7174.686,201.329,-1.733
9.949,7207.643,200.481,-1.726
9.999,7240.461,199.636,-1.719
10.049,7273.14,198.795,-1.711
10.099,7305.682,197.958,-1.704
10.149,7338.087,197.124,-1.697
10.199,7370.356,196.294,-1.69
10.249,7402.488,195.467,-1.683
10.299,7434.485,194.643,-1.676
10.349,7466.348,193.823,-1.67
10.399,7498.076,193.006,-1.663
10.449,7529.67,192.192,-1.656
10.499,7561.131,191.381,-1.65
10.549,7592.459,190.574,-1.643
10.599,7623.655,189.77,-1.637
10.649,7654.72,188.969,-1.63
10.699,7685.653,188.171,-1.624
10.749,7716.456,187.377,-1.618
10.799,7747.129,186.585,-1.612
10.849,7777.672,185.796,-1.605
10.899,7808.086,185.01,-1.599
10.949,7838.371,184.228,-1.593
10.999,7868.528,183.448,-1.588
11.049,7898.557,182.671,-1.582
11.099,7928.46,181.897,-1.576
11.149,7958.235,181.125,-1.57
11.199,7987.884,180.357,-1.565
11.249,8017.407,179.591,-1.559
11.299,8046.805,178.828,-1.553
11.349,8076.078,178.068,-1.548
11.399,8105.226,177.31,-1.542
11.449,8134.251,176.555,-1.537
11.499,8163.151,175.803,-1.532
11.549,8191.929,175.053,-1.526
11.599,8220.584,174.306,-1.521
11.649,8249.116,173.561,-1.516
11.699,8277.526,172.819,-1.511
11.749,8305.815,172.08,-1.506
11.799,8333.983,171.343,-1.501
11.849,8362.03,170.608,-1.496
11.899,8389.957,169.876,-1.491
11.949,8417.764,169.146,-1.486
11.999,8445.451,168.418,-1.481
12.049,8473.019,167.693,-1.476
12.099,8500.469,166.971,-1.472
12.149,8527.8,166.25,-1.467
12.199,8555.013,165.532,-1.462
12.249,8582.108,164.816,-1.458
12.299,8609.086,164.102,-1.453
12.349,8635.948,163.391,-1.449
12.399,8662.693,162.682,-1.444
12.449,8689.321,161.975,-1.44
12.499,8715.834,161.27,-1.435
12.549,8742.231,160.567,-1.431
12.599,8768.513,159.866,-1.427
12.649,8794.681,159.168,-1.423
12.699,8820.734,158.471,-1.418
12.749,8846.673,157.777,-1.414
12.799,8872.498,157.084,-1.41
12.849,8898.21,156.394,-1.406
12.899,8923.808,155.705,-1.402
12.949,8949.294,155.019,-1.398
12.999,8974.668,154.334,-1.394
13.049,8999.929,153.652,-1.39
13.099,9025.078,152.971,-1.386
13.149,9050.116,152.292,-1.382
13.199,9075.043,151.615,-1.379
13.249,9099.859,150.94,-1.375
13.299,9124.564,150.267,-1.371
13.349,9149.159,149.596,-1.367
13.399,9173.645,148.926,-1.364
13.449,9198.02,148.259,-1.36
13.499,9222.286,147.593,-1.356
13.549,9246.443,146.929,-1.353
13.599,9270.491,146.266,-1.349
13.649,9294.431,145.606,-1.346
13.699,9318.262,144.947,-1.342
13.749,9341.985,144.29,-1.339
13.799,9365.601,143.634,-1.335
13.849,9389.11,142.98,-1.332
13.899,9412.511,142.328,-1.328
13.949,9435.805,141.677,-1.325
13.999,9458.993,141.028,-1.322
14.049,9482.074,140.381,-1.319
14.099,9505.05,139.735,-1.315
14.149,9527.919,139.091,-1.312
14.199,9550.684,138.449,-1.309
14.249,9573.342,137.808,-1.306
14.299,9595.896,137.168,-1.303
14.349,9618.345,136.53,-1.299
14.399,9640.69,135.894,-1.296
14.449,9662.93,135.259,-1.293
14.499,9685.066,134.626,-1.29
14.549,9707.099,133.994,-1.287
14.599,9729.028,133.363,-1.284
14.649,9750.853,132.734,-1.281
14.699,9772.576,132.107,-1.278
14.749,9794.195,131.481,-1.276
14.799,9815.712,130.856,-1.273
14.849,9837.127,130.233,-1.27
14.899,9858.44,129.611,-1.267
14.949,9879.65,128.99,-1.264
14.999,9900.759,128.371,-1.261
15.049,9921.767,127.753,-1.259
15.099,9942.673,127.137,-1.256
15.149,9963.479,126.522,-1.253
15.199,9984.183,125.908,-1.251
15.249,1e4,125.295,-1.248
15.299,1.003e4,124.684,-1.245
15.349,1.005e4,124.074,-1.243
15.399,1.007e4,123.465,-1.24
15.449,1.009e4,122.858,-1.237
15.499,1.011e4,122.252,-1.235
15.549,1.013e4,121.647,-1.232
15.599,1.015e4,121.043,-1.23
15.649,1.017e4,120.441,-1.227
15.699,1.019e4,119.839,-1.225
15.749,1.021e4,119.239,-1.223
15.799,1.022e4,118.64,-1.22
15.849,1.024e4,118.043,-1.218
15.899,1.026e4,117.446,-1.215
15.949,1.028e4,116.851,-1.213
15.999,1.03e4,116.257,-1.211
16.049,1.032e4,115.664,-1.208
16.099,1.034e4,115.072,-1.206
16.149,1.036e4,114.481,-1.204
16.199,1.038e4,113.891,-1.202
16.249,1.04e4,113.302,-1.199
16.299,1.041e4,112.715,-1.197
16.349,1.043e4,112.128,-1.195
16.399,1.045e4,111.543,-1.193
16.449,1.047e4,110.959,-1.191
16.499,1.049e4,110.375,-1.189
16.549,1.051e4,109.793,-1.186
16.599,1.052e4,109.212,-1.184
16.649,1.054e4,108.632,-1.182
16.699,1.056e4,108.052,-1.18
16.749,1.058e4,107.474,-1.178
16.799,1.059e4,106.897,-1.176
16.849,1.061e4,106.321,-1.174
16.899,1.063e4,105.746,-1.172
16.949,1.065e4,105.171,-1.17
16.999,1.066e4,104.598,-1.168
17.049,1.068e4,104.026,-1.166
17.099,1.07e4,103.455,-1.164
17.149,1.072e4,102.884,-1.162
17.199,1.073e4,102.315,-1.16
17.249,1.075e4,101.746,-1.159
17.299,1.077e4,101.179,-1.157
17.349,1.078e4,100.612,-1.155
17.399,1.08e4,100.046,-1.153
17.449,1.081e4,99.481,-1.151
17.499,1.083e4,98.917,-1.149
17.549,1.085e4,98.354,-1.148
17.599,1.086e4,97.792,-1.146
17.649,1.088e4,97.23,-1.144
17.699,1.09e4,96.67,-1.142
17.749,1.091e4,96.11,-1.141
17.799,1.093e4,95.551,-1.139
17.849,1.094e4,94.993,-1.137
17.899,1.096e4,94.436,-1.136
17.949,1.097e4,93.879,-1.134
17.999,1.099e4,93.324,-1.132
18.049,1.1e4,92.769,-1.131
18.099,1.102e4,92.215,-1.129
18.149,1.103e4,91.662,-1.127
18.199,1.105e4,91.11,-1.126
18.249,1.106e4,90.558,-1.124
18.299,1.108e4,90.007,-1.123
18.349,1.109e4,89.457,-1.121
18.399,1.111e4,88.908,-1.119
18.449,1.112e4,88.359,-1.118
18.499,1.114e4,87.811,-1.116
18.549,1.115e4,87.264,-1.115
18.599,1.117e4,86.718,-1.113
18.649,1.118e4,86.172,-1.112
18.699,1.119e4,85.628,-1.11
18.749,1.121e4,85.083,-1.109
18.799,1.122e4,84.54,-1.108
18.849,1.124e4,83.997,-1.106
18.899,1.125e4,83.455,-1.105
18.949,1.126e4,82.914,-1.103
18.999,1.128e4,82.373,-1.102
19.049,1.129e4,81.833,-1.101
19.099,1.13e4,81.294,-1.099
19.149,1.132e4,80.755,-1.098
19.199,1.133e4,80.217,-1.097
19.249,1.134e4,79.68,-1.095
19.299,1.136e4,79.143,-1.094
19.349,1.137e4,78.607,-1.093
19.399,1.138e4,78.072,-1.091
19.449,1.139e4,77.537,-1.09
19.499,1.141e4,77.003,-1.089
19.549,1.142e4,76.469,-1.087
19.599,1.143e4,75.936,-1.086
19.649,1.145e4,75.404,-1.085
19.699,1.146e4,74.873,-1.084
19.749,1.147e4,74.341,-1.082
19.799,1.148e4,73.811,-1.081
19.849,1.149e4,73.281,-1.08
19.899,1.151e4,72.752,-1.079
19.949,1.152e4,72.223,-1.078
19.999,1.153e4,71.695,-1.077
20.049,1.154e4,71.167,-1.075
20.099,1.155e4,70.64,-1.074
20.149,1.156e4,70.114,-1.073
20.199,1.158e4,69.588,-1.072
20.249,1.159e4,69.063,-1.071
20.299,1.16e4,68.538,-1.07
20.349,1.161e4,68.013,-1.069
20.399,1.162e4,67.49,-1.068
20.449,1.163e4,66.966,-1.067
20.499,1.164e4,66.444,-1.065
20.549,1.165e4,65.922,-1.064
20.599,1.166e4,65.4,-1.063
20.649,1.168e4,64.879,-1.062
20.699,1.169e4,64.358,-1.061
20.749,1.17e4,63.838,-1.06
20.799,1.171e4,63.318,-1.059
20.849,1.172e4,62.799,-1.058
20.899,1.173e4,62.281,-1.057
20.949,1.174e4,61.762,-1.056
20.999,1.175e4,61.245,-1.055
21.049,1.176e4,60.727,-1.054
21.099,1.177e4,60.211,-1.054
21.149,1.178e4,59.694,-1.053
21.199,1.179e4,59.178,-1.052
21.249,1.18e4,58.663,-1.051
21.299,1.181e4,58.148,-1.05
21.349,1.182e4,57.633,-1.049
21.399,1.183e4,57.119,-1.048
21.449,1.183e4,56.605,-1.047
21.499,1.184e4,56.092,-1.047
21.549,1.185e4,55.579,-1.046
21.599,1.186e4,55.066,-1.045
21.649,1.187e4,54.554,-1.044
21.699,1.188e4,54.043,-1.043
21.749,1.189e4,53.531,-1.042
21.799,1.19e4,53.02,-1.042
21.849,1.191e4,52.51,-1.041
21.899,1.191e4,52,-1.04
21.949,1.192e4,51.49,-1.039
21.999,1.193e4,50.981,-1.038
22.049,1.194e4,50.472,-1.038
22.099,1.195e4,49.963,-1.037
22.149,1.196e4,49.455,-1.036
22.199,1.196e4,48.947,-1.035
22.249,1.197e4,48.44,-1.035
22.299,1.198e4,47.932,-1.034
22.349,1.199e4,47.426,-1.033
22.399,1.2e4,46.919,-1.032
22.449,1.2e4,46.413,-1.032
22.499,1.201e4,45.908,-1.031
22.549,1.202e4,45.402,-1.03
22.599,1.203e4,44.898,-1.029
22.649,1.203e4,44.393,-1.029
22.699,1.204e4,43.889,-1.028
22.749,1.205e4,43.385,-1.027
22.799,1.205e4,42.881,-1.027
